participant,stim_num,response,rt,resp
cla,9,right,0.678,1
cla,7,right,0.478,1
cla,1,left,0.463,0
cla,6,right,0.478,1
cla,4,left,0.91,0
cla,8,right,0.861,1
cla,5,left,0.945,0
cla,10,right,0.479,1
cla,3,left,0.927,0
cla,2,left,0.829,0
cla,6,right,0.543,1
cla,1,left,0.712,0
cla,7,right,0.396,1
cla,4,left,0.411,0
cla,9,right,0.364,1
cla,2,left,0.395,0
cla,10,right,0.381,1
cla,8,left,0.41,0
cla,5,right,0.311,1
cla,3,left,0.378,0
cla,10,right,0.344,1
cla,5,left,0.948,0
cla,8,left,0.794,0
cla,4,left,0.543,0
cla,9,right,0.527,1
cla,3,left,0.827,0
cla,6,right,0.492,1
cla,7,right,0.662,1
cla,1,left,0.947,0
cla,2,right,0.562,1
EMD,6,right,0.946,1
EMD,2,right,0.914,1
EMD,5,left,0.599,0
EMD,7,right,0.597,1
EMD,9,right,0.643,1
EMD,3,right,0.815,1
EMD,4,left,0.462,0
EMD,8,right,0.731,1
EMD,1,right,0.697,1
EMD,10,right,1.047,1
EMD,5,right,4.481,1
EMD,10,right,0.613,1
EMD,1,right,0.746,1
EMD,2,right,0.614,1
EMD,3,right,0.583,1
EMD,6,right,0.764,1
EMD,9,right,0.63,1
EMD,8,right,0.656,1
EMD,4,left,0.714,0
EMD,7,right,0.812,1
EMD,3,right,0.912,1
EMD,8,right,0.581,1
EMD,6,right,0.746,1
EMD,10,right,0.597,1
EMD,9,right,0.664,1
EMD,2,right,0.988,1
EMD,5,left,0.58,0
EMD,4,left,0.577,0
EMD,7,left,1.148,0
EMD,1,left,2.001,0
jjgp,6,left,1.247,0
jjgp,5,left,0.996,0
jjgp,2,left,1.081,0
jjgp,4,left,3.089,0
jjgp,7,right,0.898,1
jjgp,3,right,0.747,1
jjgp,9,right,0.781,1
jjgp,1,right,0.747,1
jjgp,10,right,1.114,1
jjgp,8,left,0.966,0
jjgp,2,right,1.4,1
jjgp,1,left,0.864,0
jjgp,9,left,0.882,0
jjgp,4,right,0.83,1
jjgp,3,left,0.848,0
